timestamp_utc,Ticker,MA20,MA50,MA200,RSI,MACD,MACD_Signal,Avg20_Liquidity_EGP,Liquidity_Spike,Support_20D,Resistance_20D,Support_50D,Resistance_50D,Support_Distance_%,Resistance_Distance_%,Return_5D_%,Return_20D_%,Volatility_20D_%,Breakout_20D
2026-05-27T17:02:11.220457+00:00,SCFM.CA,269.79,243.92,212.7,56.0,7.444,10.8697,30278863.91,0.3,240.2,315.0,215.11,315.0,9.42,19.85,-4.88,9.26,5.25,False
2026-05-27T17:02:11.220457+00:00,MFPC.CA,44.63,41.81,31.37,43.82,0.7503,1.1081,139543699.46,0.59,43.0,47.94,35.77,47.94,2.33,8.96,-2.78,1.32,2.25,False
2026-05-27T17:02:11.220457+00:00,ISMQ.CA,7.48,7.29,6.66,45.83,0.0311,0.0709,49049657.14,0.4,7.22,7.94,6.96,7.94,2.22,7.59,-0.94,1.37,1.67,False
2026-05-27T17:02:11.220457+00:00,ALUM.CA,22.89,21.39,18.85,60.52,0.8676,0.9103,20849765.64,0.32,20.66,26.12,19.7,26.12,12.1,12.78,-5.66,11.51,3.09,False
2026-05-27T17:02:11.220457+00:00,EALR.CA,366.04,350.38,318.22,37.18,3.5639,7.1844,24736590.39,0.35,330.0,449.0,304.12,449.0,6.78,27.43,-2.66,6.13,5.0,False
2026-05-27T17:02:11.220457+00:00,BTFH.CA,3.11,2.98,3.09,52.54,0.0302,0.0459,223575817.1,0.84,3.02,3.32,2.81,3.32,1.99,7.79,-2.84,-0.65,1.49,False
2026-05-27T17:02:11.220457+00:00,MPCO.CA,1.63,1.58,1.76,45.16,0.0019,0.0124,39428495.67,0.25,1.54,1.78,1.5,1.78,3.9,11.25,-1.23,-1.84,1.72,False
2026-05-27T17:02:11.220457+00:00,COPR.CA,0.33,0.31,0.53,80.22,0.0156,0.0117,40203865.29,0.96,0.29,0.37,0.27,0.37,23.79,3.06,2.87,23.79,2.68,False
2026-05-27T17:02:11.220457+00:00,AFMC.CA,72.48,65.2,60.15,54.24,1.8858,2.7554,16187325.59,0.49,67.0,80.89,55.2,80.89,7.46,12.35,-2.95,7.59,3.26,False
2026-05-27T17:02:11.220457+00:00,FAIT.CA,35.28,33.46,30.38,69.53,1.3005,1.1215,7333420.89,0.68,32.85,38.48,30.0,38.48,13.61,3.11,0.59,12.85,1.85,False
2026-05-27T17:02:11.220457+00:00,CANA.CA,34.46,37.16,34.94,61.69,-0.4162,-0.6733,14765858.87,0.4,33.0,38.0,30.55,50.0,7.58,7.04,2.9,5.59,2.49,False
